SMILES,FIA
Brc1cc(Br)cc(B(c2cc(Br)cc(Br)c2)c2cc(Br)cc(Br)c2)c1,432.4827813655138
Brc1ccc(B(c2ccc(Br)cc2)c2ccc(Br)cc2)cc1,374.47264324501157
CC(C)(C)c1c(C#N)c(C#N)c(B(c2c(C#N)c(C#N)c(C(C)(C)C)c(C#N)c2C#N)c2c(C#N)c(C#N)c(C(C)(C)C)c(C#N)c2C#N)c(C#N)c1C#N,566.4394510090351
CC(C)(C)c1c(C(F)(F)F)cc(B(c2cc(C(F)(F)F)c(C(C)(C)C)c(C(F)(F)F)c2)c2cc(C(F)(F)F)c(C(C)(C)C)c(C(F)(F)F)c2)cc1C(F)(F)F,431.7189445849508
CC(C)(C)c1c(N)c(C(C)(C)C)c([N+](=O)[O-])c(B(c2c([N+](=O)[O-])c(C(C)(C)C)c(N)c(C(C)(C)C)c2[N+](=O)[O-])c2c([N+](=O)[O-])c(C(C)(C)C)c(N)c(C(C)(C)C)c2[N+](=O)[O-])c1[N+](=O)[O-],314.9013827126473
CC(C)(C)c1c(N)cc(B(c2cc(N)c(C(C)(C)C)c(N)c2)c2cc(N)c(C(C)(C)C)c(N)c2)cc1N,314.5743241524324
CC(C)(C)c1cc(B(c2cc(C(C)(C)C)c(Cl)c(C(C)(C)C)c2)c2cc(C(C)(C)C)c(Cl)c(C(C)(C)C)c2)cc(C(C)(C)C)c1Cl,363.39985870197415
CC(C)(C)c1cc(B(c2cc(C(C)(C)C)c(N)c(C(C)(C)C)c2)c2cc(C(C)(C)C)c(N)c(C(C)(C)C)c2)cc(C(C)(C)C)c1N,280.01326346583664
CC(C)(C)c1cc(B(c2cc(C(C)(C)C)cc(C(C)(C)C)c2)c2cc(C(C)(C)C)cc(C(C)(C)C)c2)cc(C(C)(C)C)c1,320.07981428783387
CC(C)(C)c1cc(C(C)(C)C)c([N+](=O)[O-])c(B(c2c([N+](=O)[O-])c(C(C)(C)C)cc(C(C)(C)C)c2[N+](=O)[O-])c2c([N+](=O)[O-])c(C(C)(C)C)cc(C(C)(C)C)c2[N+](=O)[O-])c1[N+](=O)[O-],671.3434118982404
CC(C)(C)c1ccc(B(c2ccc(C(C)(C)C)cc2)c2ccc(C(C)(C)C)cc2)cc1,314.8481113128364
CN(C)c1c(C#N)cc(B(c2cc(C#N)c(N(C)C)c(C#N)c2)c2cc(C#N)c(N(C)C)c(C#N)c2)cc1C#N,440.5237432932481
CN(C)c1c(C(C)(C)C)cc(B(c2cc(C(C)(C)C)c(N(C)C)c(C(C)(C)C)c2)c2cc(C(C)(C)C)c(N(C)C)c(C(C)(C)C)c2)cc1C(C)(C)C,339.0373960118741
CN(C)c1c(C(F)(F)F)c(C(F)(F)F)c(B(c2c(C(F)(F)F)c(C(F)(F)F)c(N(C)C)c(C(F)(F)F)c2C(F)(F)F)c2c(C(F)(F)F)c(C(F)(F)F)c(N(C)C)c(C(F)(F)F)c2C(F)(F)F)c(C(F)(F)F)c1C(F)(F)F,356.95740630850196
CN(C)c1c(Cl)cc(B(c2cc(Cl)c(N(C)C)c(Cl)c2)c2cc(Cl)c(N(C)C)c(Cl)c2)cc1Cl,407.28806135989726
CN(C)c1c(F)cc(B(c2cc(F)c(N(C)C)c(F)c2)c2cc(F)c(N(C)C)c(F)c2)cc1F,365.9036932243034
CN(C)c1c(N)c(B(c2c(N)c(N(C)C)c(F)c(N(C)C)c2N)c2c(N)c(N(C)C)c(F)c(N(C)C)c2N)c(N)c(N(C)C)c1F,333.19536926131696
CN(C)c1c(N)cc(B(c2cc(N)c(N(C)C)c(N)c2)c2cc(N)c(N(C)C)c(N)c2)cc1N,288.136508573778
CN(C)c1c(O)cc(B(c2cc(O)c(N(C)C)c(O)c2)c2cc(O)c(N(C)C)c(O)c2)cc1O,341.1441761367023
CN(C)c1c([N+](=O)[O-])cc(B(c2cc([N+](=O)[O-])c(N(C)C)c([N+](=O)[O-])c2)c2cc([N+](=O)[O-])c(N(C)C)c([N+](=O)[O-])c2)cc1[N+](=O)[O-],478.5001596612856
CN(C)c1cc(B(c2cc(N(C)C)c(Br)c(N(C)C)c2)c2cc(N(C)C)c(Br)c(N(C)C)c2)cc(N(C)C)c1Br,384.1607914939523
CN(C)c1cc(B(c2cc(N(C)C)c(C(F)(F)F)c(N(C)C)c2)c2cc(N(C)C)c(C(F)(F)F)c(N(C)C)c2)cc(N(C)C)c1C(F)(F)F,419.2040778025985
CN(C)c1cc(B(c2cc(N(C)C)c(N(C)C)c(N(C)C)c2)c2cc(N(C)C)c(N(C)C)c(N(C)C)c2)cc(N(C)C)c1N(C)C,308.82332349475473
CN(C)c1cc(B(c2cc(N(C)C)c(O)c(N(C)C)c2)c2cc(N(C)C)c(O)c(N(C)C)c2)cc(N(C)C)c1O,264.2020549252629
CN(C)c1cc(B(c2cc(N(C)C)c([N+](=O)[O-])c(N(C)C)c2)c2cc(N(C)C)c([N+](=O)[O-])c(N(C)C)c2)cc(N(C)C)c1[N+](=O)[O-],413.3236662391573
CN(C)c1cc(B(c2cc(N(C)C)cc(N(C)C)c2)c2cc(N(C)C)cc(N(C)C)c2)cc(N(C)C)c1,291.80829685833305
CN(C)c1cc(C(F)(F)F)c(B(c2c(C(F)(F)F)cc(N(C)C)cc2C(F)(F)F)c2c(C(F)(F)F)cc(N(C)C)cc2C(F)(F)F)c(C(F)(F)F)c1,287.1782272551209
CN(C)c1ccc(B(c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)cc1,273.30132973380387
COc1c(B(c2c(OC)c(C(C)(C)C)c(C)c(C(C)(C)C)c2OC)c2c(OC)c(C(C)(C)C)c(C)c(C(C)(C)C)c2OC)c(OC)c(C(C)(C)C)c(C)c1C(C)(C)C,237.05656202323735
COc1c(B(c2c(OC)c(N(C)C)c(C)c(N(C)C)c2OC)c2c(OC)c(N(C)C)c(C)c(N(C)C)c2OC)c(OC)c(N(C)C)c(C)c1N(C)C,297.86545709427446
COc1c(Br)c(C)c(Br)c(OC)c1B(c1c(OC)c(Br)c(C)c(Br)c1OC)c1c(OC)c(Br)c(C)c(Br)c1OC,341.7767378985882
COc1c(Br)c(Cl)c(B(c2c(Cl)c(Br)c(OC)c(Br)c2Cl)c2c(Cl)c(Br)c(OC)c(Br)c2Cl)c(Cl)c1Br,396.59954503178596
COc1c(Br)cc(B(c2cc(Br)c(OC)c(Br)c2)c2cc(Br)c(OC)c(Br)c2)cc1Br,418.622765801847
COc1c(C#N)c(C)c(C#N)c(OC)c1B(c1c(OC)c(C#N)c(C)c(C#N)c1OC)c1c(OC)c(C#N)c(C)c(C#N)c1OC,460.68075852748007
COc1c(C#N)cc(B(c2cc(C#N)c(OC)c(C#N)c2)c2cc(C#N)c(OC)c(C#N)c2)cc1C#N,486.40197008289397
COc1c(C(F)(F)F)cc(B(c2cc(C(F)(F)F)c(OC)c(C(F)(F)F)c2)c2cc(C(F)(F)F)c(OC)c(C(F)(F)F)c2)cc1C(F)(F)F,437.48000090941787
COc1c(C)c(OC)c(C)c(B(c2c(C)c(OC)c(C)c(OC)c2C)c2c(C)c(OC)c(C)c(OC)c2C)c1C,297.0874426206574
COc1c(C)c(OC)c(OC)c(B(c2c(OC)c(OC)c(C)c(OC)c2OC)c2c(OC)c(OC)c(C)c(OC)c2OC)c1OC,326.9385922458023
COc1c(C)cc(B(c2cc(C)c(OC)c(C)c2)c2cc(C)c(OC)c(C)c2)cc1C,310.8448011185974
COc1c(Cl)c(C)c(Cl)c(OC)c1B(c1c(OC)c(Cl)c(C)c(Cl)c1OC)c1c(OC)c(Cl)c(C)c(Cl)c1OC,368.26837623119354
COc1c(Cl)c(OC)c([N+](=O)[O-])c(B(c2c([N+](=O)[O-])c(OC)c(Cl)c(OC)c2[N+](=O)[O-])c2c([N+](=O)[O-])c(OC)c(Cl)c(OC)c2[N+](=O)[O-])c1[N+](=O)[O-],420.8916705660522
COc1c(Cl)cc(B(c2cc(Cl)c(OC)c(Cl)c2)c2cc(Cl)c(OC)c(Cl)c2)cc1Cl,416.97731231711805
COc1c(F)c(C)c(F)c(OC)c1B(c1c(OC)c(F)c(C)c(F)c1OC)c1c(OC)c(F)c(C)c(F)c1OC,350.940311207436
COc1c(F)cc(B(c2cc(F)c(OC)c(F)c2)c2cc(F)c(OC)c(F)c2)cc1F,386.75636099185795
COc1c(N(C)C)cc(B(c2cc(N(C)C)c(OC)c(N(C)C)c2)c2cc(N(C)C)c(OC)c(N(C)C)c2)cc1N(C)C,316.21996142249554
COc1c(N)c(C)c(N)c(OC)c1B(c1c(OC)c(N)c(C)c(N)c1OC)c1c(OC)c(N)c(C)c(N)c1OC,277.1437230221927
COc1c(N)c(OC)c(F)c(B(c2c(F)c(OC)c(N)c(OC)c2F)c2c(F)c(OC)c(N)c(OC)c2F)c1F,330.4323453614488
COc1c(N)cc(B(c2cc(N)c(OC)c(N)c2)c2cc(N)c(OC)c(N)c2)cc1N,284.16874765139073
COc1c(O)c(C)c(O)c(OC)c1B(c1c(OC)c(O)c(C)c(O)c1OC)c1c(OC)c(O)c(C)c(O)c1OC,294.07139926496893
COc1cc(B(c2cc(OC)c(Br)c(OC)c2)c2cc(OC)c(Br)c(OC)c2)cc(OC)c1Br,384.2766023091972
COc1cc(B(c2cc(OC)c(C(C)(C)C)c(OC)c2)c2cc(OC)c(C(C)(C)C)c(OC)c2)cc(OC)c1C(C)(C)C,353.6278782328591
COc1cc(B(c2cc(OC)c(C(F)(F)F)c(OC)c2)c2cc(OC)c(C(F)(F)F)c(OC)c2)cc(OC)c1C(F)(F)F,425.70841323398054
COc1cc(B(c2cc(OC)c(Cl)c(OC)c2)c2cc(OC)c(Cl)c(OC)c2)cc(OC)c1Cl,376.19623161666095
COc1cc(B(c2cc(OC)c(N)c(OC)c2)c2cc(OC)c(N)c(OC)c2)cc(OC)c1N,295.25098399538547
COc1cc(B(c2cc(OC)c(OC)c(OC)c2)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,342.76334836613387
COc1cc(C)cc(OC)c1B(c1c(OC)cc(C)cc1OC)c1c(OC)cc(C)cc1OC,281.45718355476856
COc1cc(Cl)c(B(c2c(Cl)cc(OC)cc2Cl)c2c(Cl)cc(OC)cc2Cl)c(Cl)c1,318.03972186520696
COc1cc(OC)cc(B(c2cc(OC)cc(OC)c2)c2cc(OC)cc(OC)c2)c1,316.8409709855914
COc1ccc(B(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,290.14861316233873
Cc1c(B(c2c(C)c(C(C)(C)C)c(C)c(C(C)(C)C)c2C)c2c(C)c(C(C)(C)C)c(C)c(C(C)(C)C)c2C)c(C)c(C(C)(C)C)c(C)c1C(C)(C)C,260.100577278994
Cc1c(B(c2c(C)c(C(F)(F)F)c(C)c(C(F)(F)F)c2C)c2c(C)c(C(F)(F)F)c(C)c(C(F)(F)F)c2C)c(C)c(C(F)(F)F)c(C)c1C(F)(F)F,388.7418167516589
Cc1c(B(c2c(C)c(N(C)C)c(C)c(N(C)C)c2C)c2c(C)c(N(C)C)c(C)c(N(C)C)c2C)c(C)c(N(C)C)c(C)c1N(C)C,293.08174322079867
Cc1c(B(c2c(C)c([N+](=O)[O-])c(C)c([N+](=O)[O-])c2C)c2c(C)c([N+](=O)[O-])c(C)c([N+](=O)[O-])c2C)c(C)c([N+](=O)[O-])c(C)c1[N+](=O)[O-],472.1617558421567
Cc1c(Br)c(Br)c(B(c2c(Br)c(Br)c(C)c(Br)c2Br)c2c(Br)c(Br)c(C)c(Br)c2Br)c(Br)c1Br,371.1676373332739
Cc1c(Br)c(C#N)c(B(c2c(C#N)c(Br)c(C)c(Br)c2C#N)c2c(C#N)c(Br)c(C)c(Br)c2C#N)c(C#N)c1Br,491.5670378655195
Cc1c(Br)c(C(F)(F)F)c(B(c2c(C(F)(F)F)c(Br)c(C)c(Br)c2C(F)(F)F)c2c(C(F)(F)F)c(Br)c(C)c(Br)c2C(F)(F)F)c(C(F)(F)F)c1Br,382.15325528383255
Cc1c(Br)c(C)c(B(c2c(C)c(Br)c(C)c(Br)c2C)c2c(C)c(Br)c(C)c(Br)c2C)c(C)c1Br,373.45155996084213
Cc1c(Br)c(Cl)c(B(c2c(Cl)c(Br)c(C)c(Br)c2Cl)c2c(Cl)c(Br)c(C)c(Br)c2Cl)c(Cl)c1Br,388.56183870881796
Cc1c(Br)c(F)c(B(c2c(F)c(Br)c(C)c(Br)c2F)c2c(F)c(Br)c(C)c(Br)c2F)c(F)c1Br,425.3618997260928
Cc1c(Br)c(N(C)C)c(B(c2c(N(C)C)c(Br)c(C)c(Br)c2N(C)C)c2c(N(C)C)c(Br)c(C)c(Br)c2N(C)C)c(N(C)C)c1Br,276.6611823439598
Cc1c(Br)c(N)c(B(c2c(N)c(Br)c(C)c(Br)c2N)c2c(N)c(Br)c(C)c(Br)c2N)c(N)c1Br,371.65965607762337
Cc1c(Br)c(O)c(B(c2c(O)c(Br)c(C)c(Br)c2O)c2c(O)c(Br)c(C)c(Br)c2O)c(O)c1Br,402.43892001360655
Cc1c(Br)c([N+](=O)[O-])c(B(c2c([N+](=O)[O-])c(Br)c(C)c(Br)c2[N+](=O)[O-])c2c([N+](=O)[O-])c(Br)c(C)c(Br)c2[N+](=O)[O-])c([N+](=O)[O-])c1Br,401.7465756163001
Cc1c(Br)cc(B(c2cc(Br)c(C)c(Br)c2)c2cc(Br)c(C)c(Br)c2)cc1Br,413.39040645211935
Cc1c(C#N)c(C#N)c(B(c2c(C#N)c(C#N)c(C)c(C#N)c2C#N)c2c(C#N)c(C#N)c(C)c(C#N)c2C#N)c(C#N)c1C#N,582.230837021023
Cc1c(C#N)c(C)c(B(c2c(C)c(C#N)c(C)c(C#N)c2C)c2c(C)c(C#N)c(C)c(C#N)c2C)c(C)c1C#N,454.9440143350512
Cc1c(C#N)cc(B(c2cc(C#N)c(C)c(C#N)c2)c2cc(C#N)c(C)c(C#N)c2)cc1C#N,1504.443374587223
Cc1c(C(C)(C)C)c(F)c(B(c2c(F)c(C(C)(C)C)c(C)c(C(C)(C)C)c2F)c2c(F)c(C(C)(C)C)c(C)c(C(C)(C)C)c2F)c(F)c1C(C)(C)C,357.8237426131964
Cc1c(C(F)(F)F)c(C(F)(F)F)c(B(c2c(C(F)(F)F)c(C(F)(F)F)c(C)c(C(F)(F)F)c2C(F)(F)F)c2c(C(F)(F)F)c(C(F)(F)F)c(C)c(C(F)(F)F)c2C(F)(F)F)c(C(F)(F)F)c1C(F)(F)F,426.7994135841727
Cc1c(C(F)(F)F)c(F)c(B(c2c(F)c(C(F)(F)F)c(C)c(C(F)(F)F)c2F)c2c(F)c(C(F)(F)F)c(C)c(C(F)(F)F)c2F)c(F)c1C(F)(F)F,450.60141074843705
Cc1c(C(F)(F)F)c(N(C)C)c(B(c2c(N(C)C)c(C(F)(F)F)c(C)c(C(F)(F)F)c2N(C)C)c2c(N(C)C)c(C(F)(F)F)c(C)c(C(F)(F)F)c2N(C)C)c(N(C)C)c1C(F)(F)F,323.4524268209934
Cc1c(C(F)(F)F)cc(B(c2cc(C(F)(F)F)c(C)c(C(F)(F)F)c2)c2cc(C(F)(F)F)c(C)c(C(F)(F)F)c2)cc1C(F)(F)F,430.96188160404563
Cc1c(C)c(B(c2c(C)c(C)c(F)c(C)c2C)c2c(C)c(C)c(F)c(C)c2C)c(C)c(C)c1F,305.85687583871186
Cc1c(C)c(F)c(B(c2c(F)c(C)c(C)c(C)c2F)c2c(F)c(C)c(C)c(C)c2F)c(F)c1C,324.95786238461733
Cc1c(C)c(O)c(B(c2c(O)c(C)c(C)c(C)c2O)c2c(O)c(C)c(C)c(C)c2O)c(O)c1C,456.32778421603143
Cc1c(Cl)c(C#N)c(B(c2c(C#N)c(Cl)c(C)c(Cl)c2C#N)c2c(C#N)c(Cl)c(C)c(Cl)c2C#N)c(C#N)c1Cl,497.17841441743076
Cc1c(Cl)c(C(F)(F)F)c(B(c2c(C(F)(F)F)c(Cl)c(C)c(Cl)c2C(F)(F)F)c2c(C(F)(F)F)c(Cl)c(C)c(Cl)c2C(F)(F)F)c(C(F)(F)F)c1Cl,347.8638813495636
Cc1c(Cl)c(C)c(Cl)c(B(c2c(Cl)c(C)c(Cl)c(C)c2Cl)c2c(Cl)c(C)c(Cl)c(C)c2Cl)c1Cl,356.239673320204
Cc1c(Cl)c(N(C)C)c(B(c2c(N(C)C)c(Cl)c(C)c(Cl)c2N(C)C)c2c(N(C)C)c(Cl)c(C)c(Cl)c2N(C)C)c(N(C)C)c1Cl,276.0031532216817
Cc1c(Cl)c([N+](=O)[O-])c(B(c2c([N+](=O)[O-])c(Cl)c(C)c(Cl)c2[N+](=O)[O-])c2c([N+](=O)[O-])c(Cl)c(C)c(Cl)c2[N+](=O)[O-])c([N+](=O)[O-])c1Cl,402.80110777541995
